id,src,tgt
oa00000000,中国和瓦努阿图双方今天在这里就瓦努阿图总理卡洛特访华发表了新闻公报。,中国和瓦努阿图双方今天在这里就瓦努阿图总理卡洛特访华发表了新闻公报。
oa00000001,从一九八四年元月起，全厂层层开展月评十件好事活动，六年多来从未间断。,从一九八四年元月起，全厂层层开展月评十件好事活动，六年多来从未间断。
oa00000002,不能在绿茵场上像队员一样奔跑拚搏，就用其他形式为中国足球的发展推波助澜。,不能在绿茵场上像队员一样奔跑拼搏，就用其他形式为中国足球的发展推波助澜。
oa00000003,该基金总规模七亿元，其中募集走进额上限为五亿元。,该基金总规模七亿元，其中募集总金额上限为五亿元。
oa00000004,中国外交部发言人姜瑜8日在侧行记者会上宣布，国务院总理温家宝将生席5月16日至17日在上海举行的2007年非洲开发银行集团理事会年会，并发表讲话。,中国外交部发言人姜瑜8日在例行记者会上宣布，国务院总理温家宝将出席5月16日至17日在上海举行的2007年非洲开发银行集团理事会年会，并发表讲话。
oa00000005,研究人员惊讶地发现，他们所探测到的磁场比原来估计的要强得多，这就是说，磁气圈当时强到足以保护地球免遭太阳风暴的毁灭性破坏。这一研究成果对准算地球生命的历史非常有帮助。,研究人员惊讶地发现，他们所探测到的磁场比原来估计的要强得多，这就是说，磁气圈当时强到足以保护地球免遭太阳风暴的毁灭性破坏。这一研究成果对推算地球生命的历史非常有帮助。
oa00000006,项目聘请专业的调研公司进行调研，力邀著名的设计师共同打造的这一产品，广受业内外人士好评的力作，设计师深爱业主最以品质生活的追求。,项目聘请专业的调研公司进行调研，力邀著名的设计师共同打造的这一产品，广受业内外人士好评的力作，设计师深爱业主最以品质生活的追求。
oa00000007,雷亚的长篇谈话记录，题为《文化即命运》，文中，李光耀对“亚洲价值”进行了详尽的阐发。,雷亚的长篇谈话记录，题为《文化即命运》，文中，李光耀对“亚洲价值”进行了详尽的阐发。
oa00000008,统计数据显永，超过网络进行阅读的党敌干部占到百分之二十六，仅次于通过书籍阅读的28%，但是这个比例已经超过了通过报纸和杂志进行阅读的百分之二十四和百分之十九。,统计数据显示，通过网络进行阅读的党政干部占到百分之二十六，仅次于通过书籍阅读的28%，但是这个比例已经超过了通过报纸和杂志进行阅读的百分之二十四和百分之十九。
oa00000009,它不仅要求我们作业要整洁，衣着要整洁，防护也要整齐，要养成良好的学习和生活习惯。,她不仅要求我们作业要整洁，衣着要整洁，床铺也要整齐，要养成良好的学习和生活习惯。
oa00000010,然后秘密地放在早用小刀凿好的小土窑里，过几天一软，就可以吃了。炎热天的晌午，临到玩抓石头子儿，或用小树枝儿在棋盘似的方格格里摆开阵势，玩“狼吃娃”。,然后秘密地放在早用小刀凿好的小土窑里，过几天一软，就可以吃了。炎热天的晌午，临到玩抓石头子儿，或用小树枝儿在棋盘似的方格格里摆开阵势，玩“狼吃娃”。
oa00000011,层峦送峰的太行山，层层由南向北铺开，陡然又像条卧龙似的向东来了个急转弯，又掉头南行。,层峦迭嶂的太行山，层层由南向北铺开，陡然又像条卧龙似的向东来了个急转弯，又掉头南行。
oa00000012,翠绿的叶子也变成金黄色的。绿的时候它很脆，一捋就断；呈金黄色时，就又柔又韧。把它拔下来，就可以拧成指头粗的带环儿的绳子，悬挂在草棚里，每根绳可以辫蒜似的吊上百个柿子。,翠绿的叶子也变成金黄色的。绿的时候它很脆，一捋就断；呈金黄色时，就又柔又韧。把它拔下来，就可以拧成指头粗的带环儿的绳子，悬挂在草棚里，每根绳可以辫蒜似的吊上百个柿子。
oa00000013,纵有家财万贯，不如钧瓷一片”说的是天下第一瓷，禹州钧瓷。,纵有家财万贯，不如钧瓷一片”说的是天下第一瓷，禹州钧瓷。
oa00000014,这双解放初期沂蒙山区“识字班”穿的绊带布鞋，在这“群芳荟萃”的鞋的长河中，它显得是怎样的土气和不协闹啊！,这双解放初期沂蒙山区“识字班”穿的绊带布鞋，在这“群芳荟萃”的鞋的长河中，它显得是怎样的土气和不协调啊！
oa00000015,我国古代有人曾根据语句有否押韵把文学作品分为韵文与散文两个大类。,我国古代有人曾根据语句有否押韵把文学作品分为韵文与散文两个大类。
oa00000016,房地产多个热门板块的成交涨幅较前几月有所放缓，但是改善型置业入市积极性下降，拖累广州整个二手房市成交下滑。,房地产多个热门板块的成交涨幅较前几月有所放缓，但是改善型置业入市积极性下降，拖累广州整个二手房市成交下滑。
oa00000017,几年前，我终于有机会到了向往已久并且充满梦幻色彩的阿佤山考察沧源崖画。,几年前，我终于有机会到了向往已久并且充满梦幻色彩的阿佤山考察沧源崖画。
oa00000018,王英汉被枪毙后部分余孽深藏起来，几次围捕均未抓获。,王英汉被枪毙后部分余孽深藏起来，几次围捕均未抓获。
oa00000019,此榜单的目的不是告诉世人这些暴点会永远消失，而是要告诉人们它们已非住日，旅游胜地亟待保护，人们的行为需要矫正。,此榜单的目的不是告诉世人这些景点会永远消失，而是要告诉人们它们已非往日，旅游胜地亟待保护，人们的行为需要矫正。
oa00000020,这里盛产的莲藕，生食减，炒食脆，炖食粉，筒粗皮薄节长，肉嫩味鲜，营养丰富。,这里盛产的莲藕，生食甜，炒食脆，炖食粉，筒粗皮薄节长，肉嫩味鲜，营养丰富。
